Year,Month,AGX,Arlington A,Arlington B,Arlington DB,Distributed BESS,EE_Baseline,Four Corners 4,Four Corners 5,Griffith A,Griffith B,Griffith DB,Incremental_DG,Microgrid - FUTURE,Microgrid XHLF,New Solar,PVS Solar 5 HR,PVS Solar 5 HR ITC,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Short-Term Purch,South Point A,South Point B,South Point DB,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB
2032,7,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2032,8,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2032,9,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,17.4993
2032,10,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2032,11,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2032,12,102.7,124.999,69.166,79,188,839,283.4999979,283.4999979,131.749,8.432,107,1198,0.4,15.4,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2033,1,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2033,2,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,24.54545454,125,0.01,24.54545454,0,193.426,118.749,19,140,36,21
2033,3,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
2033,4,102.7,124.999,69.166,79,219,959,283.4999979,283.4999979,131.749,8.432,107,1285,0.4,16.9,0,0,0,125,0.01,30,125,0.01,30,0,193.426,118.749,19,140,36,21
