 On-peak Mon-Sat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , Jan-2026 , Feb-2026 , Mar-2026 , Apr-2026 , May-2026 , Jun-2026 , Jul-2026 , Aug-2026 , Sep-2026 , Oct-2026 , Nov-2026 , Dec-2026 , Tot-2026 , Jan-2027 , Feb-2027 , Mar-2027 , Apr-2027 , May-2027 , Jun-2027 , Jul-2027 , Aug-2027 , Sep-2027 , Oct-2027 , Nov-2027 , Dec-2027 , Tot-2027 , Jan-2028 , Feb-2028 , Mar-2028 , Apr-2028 , May-2028 , Jun-2028 , Jul-2028 , Aug-2028 , Sep-2028 , Oct-2028 , Nov-2028 , Dec-2028 , Tot-2028 , Jan-2029 , Feb-2029 , Mar-2029 , Apr-2029 , May-2029 , Jun-2029 , Jul-2029 , Aug-2029 , Sep-2029 , Oct-2029 , Nov-2029 , Dec-2029 , Tot-2029 , Jan-2030 , Feb-2030 , Mar-2030 , Apr-2030 , May-2030 , Jun-2030 , Jul-2030 , Aug-2030 , Sep-2030 , Oct-2030 , Nov-2030 , Dec-2030 , Tot-2030 , Jan-2031 , Feb-2031 , Mar-2031 , Apr-2031 , May-2031 , Jun-2031 , Jul-2031 , Aug-2031 , Sep-2031 , Oct-2031 , Nov-2031 , Dec-2031 , Tot-2031 ,    Total 
  Yucca CT4 oil:MW               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Douglas CT:MW                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Sundance 01:MW                 ,658.7274,1182.9283,875.9203,1664.7004,850.2425,932.0715,1043.9796,1024.8374,1262.7444,898.1402,3839.3799,6761.6274,20995.3008,1489.9653,1030.8899,4483.7832,2180.3459,709.8178,1457.3679,3068.9683,2413.8096,1806.6688,569.2498,1690.8403,597.5504,21499.2578,1123.1182,671.4257,1319.5796,557.9997,832.5419,1568.5181,3421.2124,3593.3862,2430.8318,574.2964,3201.5046,1644.2133,20938.627,936.8552,906.7735,1467.3627,511.1004,958.6631,2267.0637,2868.9619,2810.3252,2372.7161,737.8345,2002.3094,1952.5371,19792.502,2774.907,1504.8314,2165.7922,1546.2136,637.8937,1332.3611,2974.144,3531.0178,1925.6274,468.1716,3851.7388,4650.4478,27363.1445,2934.7966,1820.0352,2158.259,541.5908,309.5829,1278.5632,3657.1331,3890.5564,1854.8221,415.3111,2225.553,1959.1724,23045.375,133634.2031
  Sundance 02:MW                 ,676.5278,1155.8534,905.9694,1503.0529,900.9899,904.6241,1037.317,1001.8027,1289.9286,861.0436,3774.5549,6667.7236,20679.3867,1588.4825,1028.4025,4548.2803,2152.5313,739.6277,1461.2448,3051.5884,2420.0039,1802.0052,588.6361,1635.5325,579.5698,21595.9082,1190.2931,645.7748,1268.332,515.1288,856.7841,1612.2579,3434.0393,3559.7683,2399.2705,566.9565,3235.3281,1613.9352,20897.8691,964.7845,881.4155,1475.123,514.9948,954.5005,2245.5112,2856.4866,2986.0569,2310.3489,710.408,2028.4056,1934.6943,19862.7305,2766.78,1503.5977,2240.2239,1576.0839,616.0157,1362.2271,3056.7031,3513.8345,1881.547,471.625,3988.969,4785.2446,27762.8496,2842.9839,1963.6281,2056.1245,523.2455,341.4927,1289.5479,3676.0544,3890.7876,2027.5383,439.1828,2141.5486,2060.1646,23252.3008,134051.0313
  Sundance 03:MW                 ,669.273,1160.6982,2352.2454,2732.1699,867.9866,821.5852,920.3322,987.7354,1182.1832,2241.5146,1596.329,6817.0732,22349.125,1471.6334,1008.4396,4576.1602,2119.6135,730.2491,1484.7319,3042.4226,2363.8435,1810.0734,1134.6578,314.5062,572.5931,20628.9258,1114.1599,649.1232,1279.3452,535.1106,846.1302,1587.046,3354.6038,3576.0925,2399.1196,1746.9757,1237.5845,1603.5349,19928.8262,925.7583,923.0043,1463.7467,522.782,966.2554,2332.6909,2798.5891,2892.4648,2363.4146,2149.6494,623.916,1905.2587,19867.5293,2677.5386,1474.6167,2210.8201,1554.6633,626.5214,1343.4113,2984.5535,3641.4546,1818.8763,1427.7102,2141.5642,4706.6772,26608.4102,2862.4915,1879.1276,2076.1194,508.9482,355.868,1254.4747,3694.8215,3794.4294,2079.8718,893.6498,736.3347,1967.5155,22103.6504,131486.4688
  Sundance 04:MW                 ,660.49,1119.6379,2415.686,2891.3625,843.427,947.0009,1023.6221,918.568,1189.3287,2296.3291,1678.7784,6742.1064,22726.3379,1527.4781,1044.2061,4500.4873,2175.2949,748.9509,1476.2777,3078.9729,2424.3628,1847.5421,1130.026,355.3004,548.1477,20857.0488,1108.8561,648.8982,1286.4033,537.8179,838.4048,1593.4724,3428.1357,3614.9998,2393.7686,1706.4252,1193.3391,1611.423,19961.9453,960.0231,892.136,1477.2371,499.4294,954.5305,2282.2024,2816.7944,2858.3643,2330.7983,2074.9141,637.3415,2022.2762,19806.0469,2698.0884,1486.0081,2215.7722,1579.0953,609.5686,1276.9266,2987.0334,3540.553,1806.766,1446.7821,2217.6887,4625.1011,26489.3848,2916.6707,1947.8628,2128.78,517.8682,347.2135,1292.1378,3694.9048,3897.5684,1984.6677,920.8216,707.2889,1819.3544,22175.1387,132015.9063
  Sundance 05:MW                 ,373.3679,1153.717,2373.6836,2824.6731,830.077,927.2894,1020.2039,971.5308,1216.995,2339.0608,3878.8491,6895.9155,24805.3633,548.4926,1017.7673,4487.7046,2119.3169,708.0881,1483.8153,3051.229,2406.2346,1846.0676,1105.4757,1638.9712,544.2751,20957.4395,527.5292,682.192,1295.667,523.1358,840.7026,1583.2507,3393.936,3576.6831,2406.2256,1725.7931,3196.7605,1646.3126,21398.1895,437.7757,833.1933,1501.8943,527.3187,952.0918,2310.1577,2878.4087,2900.905,2355.9951,2130.73,1933.6376,2010.8982,20773.0059,1325.9725,1446.1614,2206.6157,1584.887,658.2115,1320.2786,3043.738,3495.0437,1758.5135,1427.3013,3944.7002,4728.9658,26940.3867,1215.7485,1916.7959,2006.585,538.4583,321.9285,1286.1008,3735.3591,3826.2434,2033.533,921.3882,2194.7808,1938.752,21935.6738,136810.0938
  Sundance 06:MW                 ,327.5802,1154.611,2339.0935,2769.4478,833.1985,746.7697,1060.0698,946.1058,1146.5845,2263.3391,3911.4241,6913.6768,24411.8984,519.6119,990.1642,4498.5776,2136.5974,756.6946,1462.1719,3046.7549,2392.2681,1852.1934,1101.549,1583.8743,561.9365,20902.3945,517.9408,674.6863,1315.8971,525.3391,867.5115,1593.1705,3444.5845,3526.7686,2431.7388,1739.8746,3110.637,1600.5985,21348.7461,430.2342,820.3317,1472.5946,513.5417,946.643,2286.4761,2973.0618,2859.5129,2483.6216,2185.5171,1999.1323,2011.179,20981.8477,1306.4316,1433.8059,2243.3984,1617.5453,641.3076,1312.3201,2987.5635,3580.9182,1845.9651,1438.3795,3980.7183,4749.9155,27138.2695,1228.8732,1969.2107,2017.6821,492.1349,363.5653,1307.7894,3616.0977,3908.0562,1970.1663,886.0647,2154.3699,1920.9008,21834.9102,136618.0781
  Sundance 07:MW                 ,661.332,312.7443,2409.1213,2780.571,804.3873,828.0795,976.283,934.3291,1167.9084,2286.6279,3774.0203,6754.1416,23689.5469,1445.7086,421.056,4480.2305,2129.5601,728.8452,1474.8689,3042.3206,2398.814,1842.0647,1124.2356,1601.0248,570.3325,21259.0605,1115.9191,254.3643,1291.5979,528.0512,840.6513,1574.7075,3379.8237,3619.5037,2442.3,1695.5992,3163.0737,1619.1755,21524.7676,965.812,383.6924,1435.7175,489.2263,956.1493,2249.7717,2887.9902,2982.8389,2432.2703,2177.2769,1930.4908,1974.1321,20865.3691,2617.9824,583.5723,2200.7178,1553.8866,641.2106,1355.08,3037.2021,3540.697,1886.6913,1434.7928,3992.8579,4692.5845,27537.2734,2902.0156,973.934,2022.2805,531.9893,334.1883,1225.5608,3554.907,4015.1648,2067.0237,894.7442,2194.6018,1872.6514,22589.0625,137465.0938
  Sundance 08:MW                 ,726.4558,339.71,2412.3213,2756.7031,917.1547,827.2522,892.5015,884.926,1298.7219,2204.7292,3867.7793,6664.9458,23793.2012,1468.2902,421.2453,4485.2939,2150.6152,734.9819,1482.6578,3046.6218,2414.5552,1818.2063,1078.5232,1631.6196,584.2949,21316.9063,1160.5333,249.8023,1284.6576,549.0778,840.0177,1581.651,3379.5107,3606.9624,2439.1006,1722.255,3210.2017,1611.8627,21635.6328,910.5621,340.562,1506.7849,481.1291,958.5637,2297.1035,2943.7437,2969.6196,2376.7229,2178.9568,1917.2554,1930.5244,20811.5273,2731.1519,581.7548,2182.939,1547.6781,619.2338,1368.9462,3100.8171,3499.0859,1827.786,1461.7574,3990.6333,4646.6548,27558.4375,2914.3516,1048.2174,2091.7449,520.8756,336.8692,1271.8376,3786.6829,3872.6697,2054.3071,888.3149,2152.6887,1943.3898,22881.9492,137997.6563
