 ( 1) System Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,  Jan-2026  ,  Feb-2026  ,  Mar-2026  ,  Apr-2026  ,  May-2026  ,  Jun-2026  ,  Jul-2026  ,  Aug-2026  ,  Sep-2026  ,  Oct-2026  ,  Nov-2026  ,  Dec-2026  ,  Tot-2026  ,  Jan-2027  , Feb-2027 , Mar-2027 , Apr-2027 , May-2027 , Jun-2027 , Jul-2027 , Aug-2027 , Sep-2027 , Oct-2027 , Nov-2027 , Dec-2027 , Tot-2027 , Jan-2028 , Feb-2028 , Mar-2028 , Apr-2028 , May-2028 , Jun-2028 , Jul-2028 , Aug-2028 , Sep-2028 , Oct-2028 , Nov-2028 , Dec-2028 , Tot-2028 , Jan-2029 , Feb-2029 , Mar-2029 , Apr-2029 , May-2029 , Jun-2029 , Jul-2029 , Aug-2029 , Sep-2029 , Oct-2029 , Nov-2029 , Dec-2029 , Tot-2029 , Jan-2030 , Feb-2030 , Mar-2030 , Apr-2030 , May-2030 , Jun-2030 , Jul-2030 , Aug-2030 , Sep-2030 , Oct-2030 , Nov-2030 , Dec-2030 , Tot-2030 , Jan-2031 , Feb-2031 , Mar-2031 , Apr-2031 , May-2031 , Jun-2031 , Jul-2031 , Aug-2031 , Sep-2031 , Oct-2031 , Nov-2031 , Dec-2031 , Tot-2031 ,    Total 
  Net System & Emission Costs($) ,73266128,46563528,47844596,37988648,53830132,71971792,91738248,89556152,80523688,69104024,75891376,89383824,827662144,"89,004,224",75767312,77530120,69265808,79114288,88464336,101172992,94496224,82897304,73078216,73144352,86332896,990268160,92105984,74042376,80014848,70486376,83612848,93605952,110476920,107207136,92308016,79533048,80403392,90663248,1054460096,94938656,79774816,73283528,74994240,87069256,103327888,126871560,117509656,102154848,85523240,"87,930,256",102218136,1135596032,102941592,82659184,85205272,76734128,84737048,103902168,140764944,131934560,110838080,96816384,97509328,117479584,1231522176,112770368,89414248,88582352,83718328,88747456,106499984,132756432,127054000,110381200,104809704,102712128,121241760,1268688000,6508196352
  Net System Costs ($)           ,73266128,46563528,47844596,37988648,53830132,71971792,91738248,89556152,80523688,69104024,75891376,89383824,827662144,"89,004,224",75767312,77530120,69265808,79114288,88464336,101172992,94496224,82897304,73078216,73144352,86332896,990268160,92105984,74042376,80014848,70486376,83612848,93605952,110476920,107207136,92308016,79533048,80403392,90663248,1054460096,94938656,79774816,73283528,74994240,87069256,103327888,126871560,117509656,102154848,85523240,"87,930,256",102218136,1135596032,102941592,82659184,85205272,76734128,84737048,103902168,140764944,131934560,110838080,96816384,97509328,117479584,1231522176,112770368,89414248,88582352,83718328,88747456,106499984,132756432,127054000,110381200,104809704,102712128,121241760,1268688000,6508196352
  Net System $/MWH (w/o Trans.)  ,26.7562,20.3674,19.5143,15.394,18.6969,19.6478,21.0358,21.3257,22.647,23.5575,29.6048,31.2515,22.4832,31,30.3335,29.5689,25.764,25.5708,23.3405,22.5098,21.677,22.1724,23.6022,26.4745,28.2991,25.8564,29.7226,27.0121,28.5916,24.531,25.4061,23.4356,23.4869,23.376,23.3443,24.0116,26.9043,27.4901,25.6094,28.2163,27.2964,23.7668,24.0265,24.5943,24.2712,25.3803,24.1083,24.1851,23.8108,27,28.4066,25.4103,28.1165,25.8817,25.2988,22.5975,22.2965,23.1123,26.6842,25.6918,24.6688,25.2011,27.622,30.303,25.6228,28.6463,26.0157,24.4835,23.0267,22.0311,22.5119,24.0672,23.6682,23.4164,25.8712,27.4659,29.5727,25.0647,24.8917
  Net System $/MWH (with Trans.) ,24.609,18.4717,17.7225,14.5519,16.5708,18.0028,19.7824,19.7675,20.7366,21.5424,28.1752,29.4767,20.7841,28.5025,27.4434,26.5295,23.6299,23.3256,21.465,21.0523,20.1273,20.3929,21.6076,24.8189,26.165,23.755,27.5013,24.5322,26.3842,22.7521,23.3364,21.7323,22.0528,21.7862,21.6847,22.0716,24.8056,24.8791,23.6265,26.1919,24.9971,21.3619,22.3052,22.7076,22.8385,24.1921,22.5823,22.4478,21.9494,25.1752,26.6538,23.6169,26.2905,24.0056,23.2562,21.1761,20.6883,21.649,25.4767,24.1349,22.7193,23.4729,25.8865,28.4599,23.9347,26.2193,23.9741,22.4063,21.3451,20.2425,20.8891,22.3337,21.744,21.3205,23.9078,25.6655,27.2304,23.1065,23.0483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ( 2) Thermal Unit Generation (MWH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
