 ( 1) System Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,  Jan-2026  ,  Feb-2026  ,  Mar-2026  ,  Apr-2026  ,  May-2026  ,  Jun-2026  ,  Jul-2026  ,  Aug-2026  ,  Sep-2026  ,  Oct-2026  ,  Nov-2026  ,  Dec-2026  ,  Tot-2026  ,  Jan-2027  , Feb-2027 , Mar-2027 , Apr-2027 , May-2027 , Jun-2027 , Jul-2027 , Aug-2027 , Sep-2027 , Oct-2027 , Nov-2027 , Dec-2027 , Tot-2027 , Jan-2028 , Feb-2028 , Mar-2028 , Apr-2028 , May-2028 , Jun-2028 , Jul-2028 , Aug-2028 , Sep-2028 , Oct-2028 , Nov-2028 , Dec-2028 , Tot-2028 , Jan-2029 , Feb-2029 , Mar-2029 , Apr-2029 , May-2029 , Jun-2029 , Jul-2029 , Aug-2029 , Sep-2029 , Oct-2029 , Nov-2029 , Dec-2029 , Tot-2029 , Jan-2030 , Feb-2030 , Mar-2030 , Apr-2030 , May-2030 , Jun-2030 , Jul-2030 , Aug-2030 , Sep-2030 , Oct-2030 , Nov-2030 , Dec-2030 , Tot-2030 , Jan-2031 , Feb-2031 , Mar-2031 , Apr-2031 , May-2031 , Jun-2031 , Jul-2031 , Aug-2031 , Sep-2031 , Oct-2031 , Nov-2031 , Dec-2031 , Tot-2031 ,    Total 
  Ocotillo CT4                   ,894.4338,2205.3511,4229.0166,4389.7754,3484.0891,3212.6218,4522.4312,4518.958,3919.7432,3063.156,2474.051,2235.6306,39149.2539,3553.3684,1532.9486,954.9688,958.9522,214.9708,600.1619,728.1816,984.0148,976.8654,504.9368,2641.2637,1981.7505,15632.3828,1528.7566,835.9623,1389.3333,1071.9492,738.0237,858.3971,796.0871,955.6912,665.7964,259.3014,1038.9104,1134.3003,11272.5098,1324.0201,694.5746,662.9534,960.9163,224.6444,309.3031,1343.3311,1752.9263,1141.5975,375.3118,1464.174,985.5944,11239.3467,1529.3845,485.5261,1609.8093,862.3815,453.3215,573.0228,1028.7341,1389.7633,974.8808,914.3625,3056.1113,3444.5747,16321.8711,3580.449,1070.6483,2093.4177,527.5237,382.5078,794.1868,1372.2284,1826.8832,1172.3256,733.8929,2719.8047,2073.7087,18347.5742,111962.9375
  Ocotillo CT5                   ,873.8382,2395.301,4221.2876,4373.8833,3497.2002,3207.2876,4496.6401,4537.0898,3927.356,3109.4712,2438.2375,2271.3115,39348.9063,3602.6304,1595.3905,972.345,937.5603,214.643,596.681,771.1066,1023.2115,954.4453,580.1019,2540.8213,1977.8884,15766.8262,1654.5938,781.6506,1435.2827,1057.9421,747.0776,889.2988,841.9034,1081.5199,701.874,272.7004,1093.8907,1142.4517,11700.1855,1623.0051,714.3328,638.7667,991.8297,221.9319,306.5328,1316.5168,1717.5178,1148.6824,425.1307,1446.5294,999.783,11550.5596,1502.4425,912.6437,1631.098,894.2172,447.9541,564.8585,1022.0572,1398.0106,973.5034,1004.5089,3022.5737,3439.3794,16813.2461,3571.3713,1493.4114,2054.9407,524.2306,389.4804,788.6152,1312.0288,1928.2186,1196.3793,709.5245,2763.0835,2131.5076,18862.791,114042.5078
  Ocotillo CT6                   ,0,0,0,0,0,3207.6973,4577.6157,4501.2114,3954.4316,3274.864,2424.7017,2269.4197,24209.9414,3656.1775,1866.2209,865.3165,964.0132,236.1028,594.3536,775.3502,1009.4296,950.8688,550.8602,2631.7251,1987.4001,16087.8203,1673.9069,760.5857,1437.5682,1109.3782,766.4218,861.5274,842.6866,1023.3875,686.7742,290.5606,953.3301,1122.3335,11528.4609,1630.7222,878.4174,656.9297,958.1851,233.0908,301.7116,1318.371,1806.1935,1165.4081,428.8922,1326.5138,1033.7487,11738.1846,1540.193,1048.7721,1392.2633,857.0042,450.9374,558.8789,1036.8914,1406.1566,935.7108,1034.4299,2961.8638,3439.0491,16662.1504,3624.0325,1565.0702,1699.5011,531.5952,379.2307,800.669,1279.0448,1889.1687,1168.5668,716.5183,2702.6743,2110.7871,18466.8594,98693.4219
  Ocotillo CT7                   ,851.4528,3640.3794,4249.4351,4389.1807,1890.4392,3192.3896,4534.7188,4517.7354,3915.3352,3954.1531,1829.4396,1078.9341,38043.5938,3625.4573,2416.0532,692.7566,871.2371,225.2675,585.1151,749.9041,986.8613,957.9052,658.8072,2022.8917,1972.9303,15765.1885,1691.2529,1151.6041,884.1624,1082.9957,768.7056,808.81,811.7573,1016.3592,688.0554,290.8649,818.304,1138.7866,11151.6582,1638.1573,1095.3932,479.7523,959.3921,221.3549,305.3056,1312.3252,1714.5123,1165.1381,484.8151,957.8663,1012.183,11346.1953,1536.6691,1089.063,914.2773,885.4359,466.2251,574.4483,1026.7257,1358.838,981.7138,1183.2864,2390.2368,3441.4319,15848.3496,3567.4539,1935.395,1145.6071,536.8524,370.3171,808.5256,1305.5541,1844.0277,1191.7869,920.3777,2106.4902,2119.7363,17852.123,110007.1016
  FUT CT 06                      ,445.4474,533.6411,1427.728,1794.8738,449.4621,486.112,447.2517,439.1286,692.7282,1050.8723,2402.843,1267.1285,11437.2158,904.8972,542.5928,2474.8123,1368.0056,350.5309,687.9047,1272.0714,1120.7517,718.8452,452.9124,885.8317,105.0568,10884.2119,724.8547,251.9678,879.0567,336.1857,513.9116,1054.7122,1511.9342,2006.6807,1268.3682,715.3304,990.0686,95.7226,10348.793,447.8779,427.8888,890.215,368.1248,521.925,1210.5361,1475.2974,1783.8628,1230.1299,1166.3409,1060.2292,592.0912,11174.5186,1743.8092,850.8546,1310.4692,860.9457,348.4143,703.0649,1565.9452,2025.6802,1083.3921,751.6461,2061.0398,2111.4951,15416.7578,1941.0011,1299.2825,1397.9847,326.4046,211.697,840.2218,1965.9916,2266.146,1147.1927,576.142,1543.7468,289.4678,13805.2783,73066.7813
  FUT CT 07                      ,439.463,500.5335,1397.6228,1825.807,441.101,461.5498,465.6618,420.6898,655.6941,1020.455,2412.396,1257.2494,11298.2236,937.5555,540.9045,2464.0422,1377.8289,336.0868,686.0645,1258.5906,1105.3567,727.9857,449.857,889.4233,110.0802,10883.7754,718.6358,249.3145,861.4272,338.4346,515.0541,1051.2115,1492.7749,2015.5569,1255.8947,722.6703,960.77,93.4671,10275.2109,425.3777,439.2662,897.6579,365.5428,527.0632,1198.4724,1434.8342,1826.6583,1220.6753,1160.3239,1071.9409,577.1796,11144.9922,1740.5525,851.9651,1303.4921,858.2626,326.0265,675.7301,1555.3739,2073.4404,1037.314,727.9719,2096.7625,2063.9084,15310.8008,1805.7295,1249.1748,1424.2555,349.6259,204.2827,814.7674,1925.2993,2323.5947,1156.2987,575.436,1601.8928,286.2502,13716.6074,72629.6094
  FUT CT 08                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.8096,1184.7034,1206.8855,631.085,312.7684,749.5137,310.538,5017.3037,208.3481,214.5315,329.6422,152.0354,279.1268,772.0767,1206.4636,1185.1941,778.8262,654.6307,567.9258,461.8604,6810.6611,898.7639,468.6697,610.6005,377.7581,180.8333,451.2783,1203.4889,1394.6016,599.6595,476.6536,2128.5435,2315.3718,11106.2236,577.327,617.582,532.3485,103.7181,84.8122,644.3867,1584.2397,1551.1987,663.9615,288.3851,561.3172,535.4786,7744.7554,30678.9414
  FUT CT 09                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620.2639,1186.1504,1203.6111,625.619,318.8248,735.3734,286.6454,4976.4883,213.6909,222.1616,349.0222,151.6103,282.4324,769.6263,1224.8453,1191.0077,728.7604,649.1913,593.3567,470.6801,6846.3853,906.4401,447.5914,619.6205,378.3582,183.286,455.6243,1219.0483,1373.4843,634.544,483.5523,2045.515,2210.1963,10957.2607,565.0649,640.8323,556.5696,106.5548,95.4001,621.2283,1565.6528,1550.0347,638.0156,285.0998,556.9699,582.3846,7763.8071,30543.9453
  FUT CT 10                      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615.0446,1186.3624,1222.734,628.6521,320.7962,753.0238,297.7558,5024.3691,200.4671,222.8139,340.571,156.4235,275.4916,786.6592,1249.0533,1148.5465,766.9696,655.7804,560.2451,451.4582,6814.479,928.8871,438.5243,609.9233,393.5085,180.5697,434.0731,1225.1134,1373.7465,617.0031,466.049,2065.5649,2326.0298,11058.9922,548.4777,628.8085,525.5012,105.469,82.5225,609.0831,1549.3834,1600.775,626.4569,275.3504,606.9625,564.6909,7723.481,30621.3242
  Fut LrgFrame CT1               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860.3779,1711.6117,2433.3721,954.0714,312.8137,1093.9476,4188.7769,3985.0168,1926.7891,1025.7528,3291.5483,3573.1338,29357.2109,29357.2109
  Fut LrgFrame CT2               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4397.1406,1171.5364,1699.3213,578.8497,197.259,803.4811,3888.2537,3636.0662,1592.2311,586.1255,2675.1018,2656.0498,23881.4141,23881.4141
  Fut LrgFrame CT3               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3763.6372,752.4856,1000.1058,346.3771,112.4182,655.6766,3449.3628,3076.5779,1229.6578,354.3764,1681.4146,1806.022,18228.1133,18228.1133
  Fut LrgFrame CT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Fut LrgFrame CT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Fut LrgFrame CT6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Fut LrgFrame CT7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Fut LrgFrame CT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Fut LrgFrame CT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CT 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT COAL 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT COAL 450 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT COAL 450 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT COAL 450 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT COAL 450 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT COAL 375 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUTURE NUCLEAR 1               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  FUTURE NUCLEAR 2               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  FUTURE NUCLEAR 3               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  FUTURE NUCLEAR 4               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Renewable Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  West Phoenix CC1 oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  West Phoenix CC2 oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  West Phoenix CC3 oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Ocotillo ST1 oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Ocotillo ST2 oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Saguaro ST1 oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Saguaro ST2 oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Ocotillo CT1 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Ocotillo CT2 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Saguaro CT1 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Saguaro CT2 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  West Phoenix CT1 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  West Phoenix CT2 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Yucca CT1 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Yucca CT2 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Yucca CT3 OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CC1 wCCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT CC2 wCCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  YUCCA CT5                      ,699.7028,807.3901,588.7299,1799.691,916.2163,2064.0718,2270.1208,2225.1125,1882.2605,1212.6936,1691.8967,1963.9,18121.7852,1611.598,1305.1372,696.5721,1475.798,632.8733,2046.7859,2181.8298,2183.363,1957.0657,696.1492,1410.8085,699.1997,16897.1816,1018.4948,716.8254,400.109,695.5133,578.8907,2091.8218,2305.1499,2310.478,2094.2236,692.0546,1585.1193,1161.9194,15650.5996,931.0062,836.4805,502.879,904.8334,660.5178,2127.5522,2493.3071,2439.0945,2168.8364,1057.6018,1405.6031,1366.3594,16894.0723,1357.9745,908.4789,589.1666,980.459,471.5305,2067.5349,2604.9341,2629.0691,2247.5679,1290.0236,1939.8252,2128.5322,19215.0938,2791.7644,1516.1876,968.325,1240.1427,740.6358,2490.4146,3499.7949,3626.4695,2902.9897,1782.3019,3026.209,2940.1462,27525.3828,114304.125
  YUCCA CT6                      ,526.4509,688.0028,555.0428,1707.4619,808.7639,1610.9487,2258.4492,1837.1726,1545.1982,1087.4573,1676.183,1867.0571,16168.1875,1437.239,1173.9878,651.1618,1362.2223,480.9789,1674.4781,2165.9182,1942.4009,1520.9012,610.3386,1174.0604,510.9705,14704.6582,892.5772,519.0875,309.0955,565.5897,504.7878,1911.1509,2295.1692,2155.5364,1741.73,614.4955,1430.4976,1032.7609,13972.4775,798.7687,717.566,462.4808,807.7106,582.4738,2031.6388,2451.5667,2432.7241,2077.9814,995.4249,1353.1547,1279.3654,15990.8555,1263.9255,807.8641,545.6083,918.3901,425.5189,2051.5508,2598.0576,2643.8472,2218.2915,1238.3273,1750.1741,1959.3313,18420.8887,2689.6453,1413.751,950.2405,1156.39,682.2625,2488.5752,3455.0681,3586.6704,2925.2546,1731.8135,3020.1194,2876.28,26976.0703,106233.1484
  GILA TOLL CC 4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  GILA TOLL CC 4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ARLINGTON CC 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ARLINGTON CC 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  500MW TOLL CC 1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  500MW TOLL CC 1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  South Point 1X1                ,0,0,0,0,387.2933,1119.6544,2053.1917,1415.7297,1181.8868,1863.2137,0,0,8020.9697,0,0,0,0,72.3932,354.3722,1161.7301,775.6326,317.4778,83.6345,0,0,2765.2402,0,0,0,0,19.3838,170.5207,817.4141,713.3434,275.1377,112.53,0,0,2108.3296,0,0,0,0,250.2508,585.3115,883.1191,779.8414,524.0522,587.7032,0,0,3610.2783,0,0,0,0,983.0684,875.9536,752.3412,963.8747,916.9481,1037.8218,0,0,5530.0078,0,0,0,0,3156.8384,1285.8091,1086.771,1020.7785,1102.9189,1443.5881,0,0,9096.7041,31131.5332
  South Point 2X1                ,0,0,0,0,1039.1434,3357.782,8335.208,6805.3442,4021.5581,4078.3252,0,0,27637.3594,0,0,0,0,276.3312,2417.1716,8999.3965,6911.9858,2294.1184,323.5212,0,0,21222.5254,0,0,0,0,136.1204,1205.1442,9701.3252,7745.0107,2396.4172,409.074,0,0,21593.0938,0,0,0,0,752.5135,4110.8018,15164.2061,14635.0625,6307.2124,3661.0134,0,0,44630.8086,0,0,0,0,3526.8079,8225.7754,20197.8594,18810.0605,11738.8652,6954.0654,0,0,69453.4297,0,0,0,0,10608.9287,18018.9941,23869.9648,23141.8477,20806.5156,15449.5488,0,0,111895.7969,296433
  Buy Call A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Buy Call B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Buy Call C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Buy Call D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Buy Call E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Buy Call F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  EXST Microgrid 1               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9205,0.8135,0,0,1.7341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7341
  EXST Microgrid 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT Microgrid 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  FUT Microgrid 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TSMC Microgrid                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  XHLF Microgrid 1               ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  XHLF Microgrid 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  XHLF Microgrid 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
