Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2044,10,22,6942.2593,6744.656928,6613.624436,6533.642754,6517.866736,6622.940134,6728.677556,6862.170718,7218.372553,7541.051121,7873.890222,7957.315206,8030.131008,8314.385872,8296.455183,8208.437821,8027.610843,7911.270918,7956.724147,7985.077789,7826.396575,7573.85081,7334.657803,7101.291252
2044,10,23,6716.599056,6546.134277,6438.713115,6371.843934,6349.091586,6424.02663,6483.847635,6708.825937,7138.182517,7565.590876,7868.32951,8138.657487,8319.389349,8310.613813,8378.822961,8335.88679,8107.065513,8005.284271,8074.56684,8164.146802,8005.145727,7685.668688,7349.204616,7060.838566
2044,10,24,6753.533077,6547.091751,6453.566904,6404.965729,6473.39496,6698.601086,6959.703807,7058.737151,7145.012923,7541.39297,7692.583367,8106.442301,8288.81497,7857.109345,8002.816027,8181.487319,7936.111832,7921.630715,7930.744524,8284.572036,8114.815721,7776.052863,7429.507221,7108.978067
2044,10,25,6864.240523,6671.239239,6581.945447,6517.518143,6577.333335,6812.69229,7089.091793,7207.565036,7474.458814,7745.171698,7944.108348,8102.807284,8234.877309,8165.233209,8212.537738,8110.841099,7799.24956,7678.679769,7752.152063,8177.89744,8010.401348,7670.187468,7343.48919,7040.856736
2044,10,26,6861.295887,6688.15985,6613.104805,6545.637602,6622.774058,6873.02149,7159.816777,7324.595389,7582.241142,7823.04049,7981.035518,8092.886313,8204.486398,8103.813549,8086.785254,7946.547111,7628.576996,7526.303518,7616.93553,8077.633998,7923.856074,7603.92781,7298.610994,7014.747496
2044,10,27,6927.695468,6757.774998,6682.319602,6623.750271,6723.80305,6977.906394,7233.73301,7419.421674,7684.477722,7880.959542,8016.809675,8116.571838,8203.517052,8080.309918,8086.587204,7952.921518,7628.203854,7541.004729,7642.997754,8116.061135,7977.141717,7666.824356,7365.443252,7091.527577
2044,10,28,6990.78776,6823.348915,6755.678731,6701.751771,6804.500949,7047.137921,7304.988471,7442.03851,7591.317461,7454.870011,7356.545355,7512.764448,7573.21481,7628.818653,7994.657786,7740.496205,7489.050765,7403.736653,7494.181454,7921.840093,7797.912167,7561.373367,7350.839451,7123.285015
2044,10,29,6853.802382,6698.802761,6607.160517,6523.178928,6527.644437,6651.401476,6782.97801,6953.336926,7325.927131,7656.532081,7835.661244,7957.854249,8056.500098,7995.937387,7870.531947,7741.432327,7444.989256,7331.840844,7485.637723,7617.075552,7519.727301,7320.876037,7141.437034,6949.71281
2044,10,30,6647.439603,6485.614695,6387.781485,6313.397992,6290.119684,6359.360662,6422.583369,6568.489569,6902.342781,7410.340248,7690.148025,7933.61868,7980.996359,7982.679305,8139.927502,8079.999505,7865.795124,7783.964085,7898.987812,8015.341731,7865.906769,7553.541979,7236.488762,6960.649212
2044,10,31,6666.687918,6458.031699,6363.975295,6316.761516,6390.125246,6599.401081,6821.477103,7020.628057,7308.529251,7628.244591,7889.512769,8116.424645,8274.23309,8262.49978,8423.994192,8374.670944,8038.041427,7864.794327,7850.340124,8210.409699,8046.70868,7700.145911,7353.586935,7039.35652
2044,11,1,7229.826149,7038.919014,6957.225133,6909.438657,7010.138703,7317.938195,7641.88275,7796.268036,7929.813425,7927.395307,8465.410967,8524.025015,8384.365263,8296.479034,8069.108823,8123.976075,7555.338719,7765.476185,7939.531379,8223.083953,8406.872572,7923.79992,7634.565925,7379.892777
